run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.775964289552757,19.1192917019382
2,1.0,19.351401631483057,18.73810089745734
3,1.0,19.78984276701981,19.1797482872408
4,1.0,19.365845362392687,18.753004869806592
5,1.0,19.66607491879765,19.085402208987464
6,1.0,19.872565104818822,19.177504350516287
7,1.0,19.864974903528125,19.28302523231772
8,1.0,19.252927180004956,18.596282326422674
9,1.0,20.054163224183586,19.44261708078573
10,1.0,20.063585789079927,19.424184507443226
11,0.6065761532401006,19.090606341093203,18.486997301871018
12,0.3679346296795588,17.35998521864288,16.79306421196605
13,0.22318037231484725,19.349034418080347,18.722963972624946
14,0.13537589171743386,16.698711279324193,16.12162659471912
15,0.08211578763940967,16.774953078170924,16.223497838976474
16,0.05,15.178069948123321,14.628817296519506
17,0.05,15.714263499814296,15.154349940876413
18,0.05,15.61989355051598,15.035315124496945
19,0.05,15.852102912984643,15.318538223364728
20,0.05,16.688623396766232,16.149310272388014
21,0.05,16.36059770254774,15.82683449349411
22,0.05,15.878552068457994,15.329892735777696
23,0.05,15.964158565620654,15.416118136562037
24,0.05,14.674489415792959,14.15172458506071
25,0.05,15.289092623063334,14.734338658896638
26,0.05,15.004228362732217,14.419912372367525
27,0.05,14.73282329184558,14.177064574686755
28,0.05,16.215264219517074,15.644789938687904
29,0.05,14.97094733476756,14.432069994160882
30,0.05,14.675588191791869,14.135182517685228
31,0.05,14.382510421454098,13.85727860435133
32,0.05,14.37573346382971,13.838327587178336
33,0.05,14.626366865686995,14.108391367636141
34,0.05,15.211594633779878,14.671290774017276
35,0.05,14.909600853408191,14.36228158004196
36,0.05,13.852181581852495,13.330950573668154
37,0.05,14.46020116686339,13.919362015712867
38,0.05,14.582995133040255,14.03485233755781
39,0.05,15.613616573874275,15.093388869080115
40,0.05,17.257677716036838,16.607312496903248
41,0.05,16.2720577471662,15.715623669514276
42,0.05,15.042150755259971,14.478723320361064
43,0.05,14.850461163738935,14.272557241454091
44,0.05,16.012516193435214,15.422654768842145
45,0.05,14.871791994535794,14.311280726638557
46,0.05,15.07934646004772,14.515469664802938
47,0.05,14.721833467596886,14.188826533392925
48,0.05,14.415564800737773,13.895049447706219
49,0.05,19.390882330382116,18.812956618436584
50,0.05,16.072910302663026,15.50246025167901
