run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.853398521669867,19.227286501100668
2,1.0,19.572269431552705,18.949519527691766
3,1.0,19.788459286159096,19.202187716832782
4,1.0,19.828624485613318,19.149354725872985
5,1.0,19.54080406939574,18.936225653160264
6,1.0,19.478354872392647,18.85431170897489
7,1.0,19.530255257594074,18.871007467286322
8,1.0,19.656203732286464,19.061559198821744
9,1.0,19.87118269501429,19.178639903557478
10,1.0,19.5826965284731,18.948401046273812
11,0.0,17.814514393359936,17.279594994476337
12,0.0,16.751946425929795,16.157368255710253
13,0.0,17.228374907002312,16.65232488748464
14,0.0,16.659008545673096,16.07436094050043
15,0.0,16.63380349967701,16.093318090908358
16,0.0,17.175386713122144,16.62890760831939
17,0.0,16.736758917939888,16.162721680528726
18,0.0,15.085093506719586,14.467520645765646
19,0.0,14.958977807462471,14.401139335241114
20,0.0,15.32338485266156,14.766976631502045
21,0.0,15.274611519226037,14.728693464957923
22,0.0,15.907749429376613,15.298645961388145
23,0.0,16.236413076977414,15.612426845646375
24,0.0,15.606137166199503,15.045422823953201
25,0.0,15.766054934776962,15.2204332687931
26,0.0,15.190846831755023,14.615629187853308
27,0.0,16.039324461631132,15.431538078140608
28,0.0,15.27019223673375,14.726096168907587
29,0.0,15.499363922411085,14.937596777479758
30,0.0,15.810335882123315,15.21976069998757
31,0.0,15.766674717852299,15.192112899414642
32,0.0,15.34949616371913,14.740751582576504
33,0.0,16.4637435951856,15.868378196259
34,0.0,15.965240003749313,15.381108065086972
35,0.0,16.128728553180544,15.521182333920134
36,0.0,15.489178307447483,14.90614132310872
37,0.0,15.7267517890315,15.16625007137693
38,0.0,15.521785486373291,14.945145119394333
39,0.0,16.151213553796133,15.593970522728062
40,0.0,15.9845401561055,15.417001571525848
41,0.0,16.270576315594198,15.652548655066413
42,0.0,15.613391910172112,15.052247788825898
43,0.0,15.719557161197963,15.159459727962021
44,0.0,15.866841593093117,15.31018594053029
45,0.0,15.195343933915492,14.651157066865538
46,0.0,16.45022862739333,15.758778456807951
47,0.0,16.340261881918128,15.751269378713813
48,0.0,16.588377815129288,15.962239096813686
49,0.0,17.226391991119073,16.669368516609147
50,0.0,16.521794168331077,15.898197842893353
