call_to_arrival,assign_to_arrival,demand_met
20.660637837958085,16.741550723636994,1.0
20.13524877686498,16.633226950638125,1.0
20.1406799555996,16.45625788729609,1.0
20.480710569473047,16.457675373393148,1.0
20.611098481275953,16.916562718321064,1.0
19.944771056312796,16.621544387759062,1.0
19.580052437019145,16.221911842653544,1.0
19.649014711302716,16.172932484651355,1.0
19.778295051334148,16.44279126127213,0.999
20.466179985037385,16.70525743995468,1.0
19.945245960756814,16.41662831917248,1.0
19.597875155919677,16.16270610627167,1.0
19.900292497403424,16.584917221164044,1.0
20.89077971146309,16.728033954632313,1.0
20.66474457653918,16.778149027302774,1.0
20.768507005013117,16.972503674797085,1.0
19.667029439340425,16.290048368660006,1.0
21.130729225485528,17.008211171350457,1.0
19.704800562885634,16.18812754170336,1.0
20.704536683784657,16.826361092428286,1.0
20.13229612923081,16.580555921634442,1.0
20.35621797974114,16.7014524985166,1.0
20.203294316047124,16.611252835269255,1.0
19.89261072181956,16.469991547973343,1.0
20.801519966412105,16.90123775351893,1.0
20.50224848704476,16.771252541838706,1.0
20.284546578649188,16.649288542141868,1.0
19.655978434215875,16.41058715736398,1.0
20.577827117193074,16.76312841996713,1.0
19.559108500305236,16.270817626181547,1.0
