run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,31.132464471866086,25.000267921242006
2,1.0,30.218938365400128,24.56131239898756
3,1.0,30.20784877395322,25.058570532701726
4,1.0,30.29778439726907,24.770938832737215
5,1.0,30.701819915263947,25.061705670387315
6,1.0,30.51389461695796,24.805424619401865
7,1.0,29.891170808895673,24.832265142534155
8,1.0,30.446775303660385,24.781648856020464
9,1.0,30.30670382971136,24.70796268024199
10,1.0,30.65832580214949,24.798831759025404
11,0.6065761532401006,28.272759794318034,22.924079013910912
12,0.3679346296795588,25.150127995029248,20.265431306773852
13,0.22318037231484725,22.41845324485282,18.640757768897277
14,0.13537589171743386,21.574074363575118,17.678940455104556
15,0.08211578763940967,20.184754285456748,16.94536566228889
16,0.05,19.924945325605655,16.553861472630597
17,0.05,20.984380446659106,17.12842308444606
18,0.05,20.817572449524345,17.10584766476173
19,0.05,20.582578705852537,17.044757175656805
20,0.05,20.39835352845556,16.654061024642683
21,0.05,21.10131062163848,17.354588900404373
22,0.05,21.18256497251582,17.32062980625585
23,0.05,21.274699571735578,17.718473613941992
24,0.05,21.86439860607111,17.707978565322996
25,0.05,21.367907042213115,17.751785319397218
26,0.05,22.229595817413692,17.89229180616043
27,0.05,22.071175974311096,17.912710505282856
28,0.05,22.94907661777482,18.759518900899625
29,0.05,22.755290809569125,18.40263346862889
30,0.05,22.4477326780214,18.46798136936859
31,0.05,22.595341154466965,18.501204910285463
32,0.05,22.505087681272535,18.784507755815355
33,0.05,22.45638375400981,18.419685390397223
34,0.05,23.3864635373394,19.27382297478091
35,0.05,24.759312831781486,20.150979557970814
36,0.05,24.668045993641854,20.178560082249486
37,0.05,24.751650144540328,20.061045996304397
38,0.05,24.4022592321196,19.739501615466096
39,0.05,24.99512081186888,20.749113856058912
40,0.05,23.871756988201373,19.756909686063633
41,0.05,25.465303474126056,20.430526967026626
42,0.05,24.648433411605396,19.809285765777727
43,0.05,22.992740351054866,18.993384199783236
44,0.05,24.444405100101584,19.98586850193321
45,0.05,24.456344301082733,19.926538024182605
46,0.05,25.392119917334494,20.198110392387225
47,0.05,24.892016992646557,20.29784094838572
48,0.05,23.95970596940066,19.85910658288865
49,0.05,25.18891547274583,20.28399752460064
50,0.05,24.144034550786113,20.034760018534072
