call_to_arrival,assign_to_arrival,demand_met
30.62001069233408,24.663679410654332,1.0
30.877270076204066,24.868208619350767,1.0
30.484331783749106,24.804863861971434,1.0
29.976334599550622,24.670144458680774,1.0
30.77855232740502,24.864994509220015,1.0
30.244084099865482,24.693119096799695,1.0
30.530868245409557,24.958508413142575,1.0
30.122189465421314,24.657696426341747,1.0
30.23258798375345,24.747149256690033,1.0
31.00146479640352,24.831581231117102,1.0
30.00573091464143,24.857285791124177,1.0
30.816487861316396,24.69245664908167,1.0
30.1622312584669,24.73695741451225,1.0
30.443692204270803,24.8073177856882,0.999
29.965323426085646,24.82867173468312,1.0
29.70283917383678,24.547893469816803,1.0
30.77339639466199,24.873453643002723,1.0
29.91070737140074,24.72229329797133,1.0
29.573296183682018,24.474819144357166,0.999
30.890134946092044,24.912097838862422,1.0
30.054613310573146,24.775097411251352,1.0
30.446416615952707,24.856300592106514,1.0
30.199793376331765,24.8051035153209,1.0
29.978055781985063,24.748603859125158,1.0
30.363560349006217,24.68188876929112,1.0
30.458833974440513,24.60559278112908,1.0
30.343390438682448,24.658370694604123,1.0
30.1790658527602,24.784030161883166,1.0
30.685913663259278,24.83206472340534,1.0
30.29670581690979,24.670730512882685,1.0
