call_to_arrival,assign_to_arrival,demand_met
13.561794340784129,11.086159522906877,1.0
13.898229843805574,11.436410292529876,1.0
14.51480358649088,11.645170104032818,1.0
14.711850975085941,11.956122155291407,1.0
14.979406973129956,12.068896914120277,1.0
14.224264204610025,11.593794851451396,1.0
14.812577613861603,12.149359155572636,1.0
15.038972778164222,12.392754026959725,1.0
14.65881093266854,12.230553826174729,1.0
15.071256759095712,12.304135934825492,1.0
14.352242113751778,11.911723973429048,1.0
15.160073011949658,11.976713365829655,1.0
14.291272534598773,11.837402125367603,1.0
15.170974315030593,12.0811291246454,1.0
14.097874642811012,11.804225997473987,1.0
14.856704049201262,12.233788958646285,1.0
14.901827164979562,12.261323813693052,1.0
14.554959932680568,12.05822011443221,1.0
15.539147418751343,12.44975035716854,1.0
15.784336687703215,12.58608404418119,1.0
14.77137512274006,12.241134944137634,1.0
15.156833225347896,12.309462578219781,1.0
15.18236826059569,12.255207528382257,1.0
15.302683919862293,12.353653892659898,1.0
14.501752625510912,12.029918165785638,1.0
14.485701281132917,12.122885031512517,1.0
14.96682079125442,12.210289831828995,1.0
14.652292283930063,12.037444211900016,1.0
14.270625052965068,11.720534035472278,1.0
14.752851552925623,12.027575647737509,1.0
