run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,30.547697550415645,24.68766579139367
2,1.0,30.54682365599392,24.7384154369862
3,1.0,30.691631691526283,24.848333341577497
4,1.0,30.049318118453776,24.781476407531645
5,1.0,29.72576876862055,24.64663968963041
6,1.0,29.690650623354532,24.64772413168598
7,1.0,29.835298779147003,24.666982476974784
8,1.0,30.084033462200797,24.781632933737523
9,1.0,29.963617094359204,24.79532616881263
10,1.0,30.46988973820606,25.025599698109254
11,0.0,19.30271754860892,15.984427985259448
12,0.0,18.313013853710153,15.005765266309425
13,0.0,18.236574067364877,14.981323976964495
14,0.0,18.37908974612031,14.848537150689303
15,0.0,18.138897323693932,14.81576641159658
16,0.0,18.062875731074612,15.01447802929412
17,0.0,17.369845698329502,14.188206290105216
18,0.0,16.57623094477131,13.624280943253618
19,0.0,16.824406736083176,13.712408022347155
20,0.0,16.369640630328334,13.687090103367778
21,0.0,17.42169402861997,14.575939610334707
22,0.0,16.752720108549656,13.955924968550756
23,0.0,16.496774503808936,13.374113236418124
24,0.0,17.024688815835045,13.776702181195768
25,0.0,17.024791480149354,13.719227689553948
26,0.0,18.32328731405384,14.916345091549054
27,0.0,16.832023012646633,14.024192027128349
28,0.0,17.094340255050778,14.31458348574886
29,0.0,16.60457303988471,13.563400718576592
30,0.0,18.083072787021226,14.769407718787482
31,0.0,16.149649977990563,13.497851167643253
32,0.0,17.27781600031986,14.026346084809049
33,0.0,15.924527887627232,13.068412296858185
34,0.0,16.24926731429819,13.306115743382529
35,0.0,16.0347423704961,13.108902363197412
36,0.0,16.3653615557968,13.323474279155084
37,0.0,17.99867794381832,14.59215402624475
38,0.0,16.52351831940056,12.865544292041971
39,0.0,16.725723801649295,13.65185388073456
40,0.0,17.275699662433436,14.202161826962527
41,0.0,17.167782625474253,14.443112914965937
42,0.0,17.234443129750872,14.115223862580727
43,0.0,17.432413978965815,14.425391943615075
44,0.0,17.741182196032337,14.517687562774958
45,0.0,17.709101906959077,14.37765266504104
46,0.0,17.51266636952462,14.178713774675607
47,0.0,16.868352463336485,13.757321257680665
48,0.0,16.315265999087377,13.372869500977208
49,0.0,18.38351391566797,14.719977880211527
50,0.0,18.256521020874096,14.851642366203071
