run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.08155412191536,18.570452814371613
2,1.0,18.79083279669858,18.269484103130527
3,1.0,18.758537801494544,18.25949980091377
4,1.0,19.10297550795926,18.598822466005398
5,1.0,18.892232563985804,18.39066212798839
6,1.0,19.08977880305585,18.59809672453826
7,1.0,19.305237458282782,18.7990291912628
8,1.0,18.90362850759396,18.39753644816775
9,1.0,19.03981565687702,18.525439220968416
10,1.0,18.787441240151086,18.270765806258343
11,0.6065761532401006,18.03807477862286,17.538295074181043
12,0.3679346296795588,17.06383801687396,16.562541835379957
13,0.22318037231484725,14.468843209010979,13.968948107106952
14,0.13537589171743386,14.041440176011466,13.531004896946172
15,0.08211578763940967,14.801922595393794,14.304676211910817
16,0.05,14.264887004879029,13.759641867982454
17,0.05,13.279876408512823,12.778496124950838
18,0.05,15.343288037985959,14.841585381011125
19,0.05,16.991514321158373,16.496685262481513
20,0.05,13.532517616171111,13.031996172694647
21,0.05,12.729293876888752,12.229820071984323
22,0.05,12.910487193117003,12.413265146865129
23,0.05,12.721941937029056,12.218704790996984
24,0.05,12.703725224736644,12.20677701288255
25,0.05,12.862174539009173,12.350523837968858
26,0.05,12.743624704919815,12.23735007873176
27,0.05,12.782348618296583,12.284467925630244
28,0.05,12.8498433692859,12.340265729398862
29,0.05,12.787784728811932,12.289980715942106
30,0.05,12.597637046959132,12.090197086811648
31,0.05,12.594188692643206,12.09037391739641
32,0.05,12.743563462750336,12.242981332330192
33,0.05,12.618143283097561,12.122044243196932
34,0.05,12.747436660607848,12.250142338859215
35,0.05,12.490545533477995,11.987488767138236
36,0.05,12.862693668023576,12.35287040411132
37,0.05,12.467790359861704,11.973027767301229
38,0.05,12.556845942057054,12.051593142365641
39,0.05,12.685271963915493,12.181609889823266
40,0.05,12.958525101010249,12.455257612617746
41,0.05,13.343166512188406,12.834786703845344
42,0.05,12.994289158348433,12.486263269750133
43,0.05,12.839213946472745,12.333163053373571
44,0.05,12.797070786916496,12.297376794964661
45,0.05,12.768379383693498,12.260223056078303
46,0.05,12.85298989495286,12.349084573002164
47,0.05,12.704367016437763,12.202224758835527
48,0.05,12.658580786287656,12.151565724223053
49,0.05,12.719056935264087,12.217495692591283
50,0.05,12.618595207889268,12.103355156016736
