call_to_arrival,assign_to_arrival,demand_met
11.658491088670813,11.156583891269342,1.0
11.750352847044244,11.25278610977172,1.0
11.723678341142074,11.225241435441218,1.0
11.625098808406968,11.12372336328821,1.0
11.69628654404981,11.197287195423522,1.0
11.597089987902919,11.097778151802203,1.0
11.710522025425913,11.214565955199408,1.0
11.742896019500455,11.237249899201604,1.0
11.618560518345427,11.122332417986742,1.0
11.769736218907676,11.26497056871281,1.0
12.028003363684071,11.5238140603696,1.0
11.663746447404147,11.169721754717656,1.0
11.620006460290911,11.120872459871425,1.0
11.780181184714708,11.280654958355607,1.0
11.696979121750122,11.19216774310831,1.0
12.018990601572472,11.515880763018254,1.0
11.677250569764189,11.176203483607058,1.0
11.70574193432107,11.206427239319261,1.0
11.761247344762788,11.268308749996216,1.0
11.895242514879563,11.403382633595477,1.0
11.674483404356637,11.17749076980278,1.0
12.049724878889926,11.548185830619298,1.0
11.653526730244048,11.156756583657137,1.0
11.649061816236697,11.153176200803031,1.0
11.949122653247347,11.45144821618392,1.0
11.700533463627652,11.20495683275875,1.0
11.84626375287325,11.347340444413463,1.0
11.618604953648706,11.122929805565017,1.0
12.022900716081544,11.518819322988874,1.0
11.613099052434839,11.107027512023812,1.0
