run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.032948713726782,18.527324701237458
2,1.0,18.833311560110275,18.323510659398213
3,1.0,18.84311703429402,18.344335721336176
4,1.0,19.04117943910844,18.537085616932185
5,1.0,19.247328524931767,18.746415012147718
6,1.0,18.965706595095615,18.446234756428098
7,1.0,18.931869652951647,18.42110980657528
8,1.0,18.97145610851779,18.473932312123182
9,1.0,19.32798238035751,18.822569633163912
10,1.0,19.242683232454002,18.739565766000222
11,0.6065761532401006,18.094244396227058,17.583508737604873
12,0.3679346296795588,17.097235503228944,16.58577012604641
13,0.22318037231484725,15.942397622496012,15.437937497139023
14,0.13537589171743386,15.50364206542102,15.004736138172483
15,0.08211578763940967,15.42045362083561,14.913562257423441
16,0.05,15.818439798127917,15.322576185073244
17,0.05,15.257415266502056,14.75931740565263
18,0.05,15.602703352221686,15.097663241326023
19,0.05,15.371636039842299,14.862988489780982
20,0.05,14.516749021905754,14.015500172757346
21,0.05,15.366660352404578,14.868772567745102
22,0.05,15.17955030788067,14.671446155175909
23,0.05,15.792550930195075,15.289126722546731
24,0.05,15.027381125813362,14.528754984119159
25,0.05,16.3023024385334,15.78809981303559
26,0.05,17.83329283319611,17.32641961111431
27,0.05,15.934903134788254,15.415732454459707
28,0.05,16.09055240868557,15.588590279569614
29,0.05,14.998006774701619,14.497666059332287
30,0.05,15.618702609963849,15.11333186649295
31,0.05,14.820263597869836,14.323071569689933
32,0.05,15.884626605496212,15.374865513647496
33,0.05,16.80416800153399,16.304977608880012
34,0.05,16.9096772580948,16.3834945205696
35,0.05,16.249968950342105,15.745942454089041
36,0.05,16.018612469416244,15.503005698899932
37,0.05,15.305615347719703,14.803957849015429
38,0.05,15.75108955851242,15.246132336813975
39,0.05,16.549333354783546,16.037919076004695
40,0.05,16.093984851388342,15.592669303809682
41,0.05,16.489242116785793,15.98242325174163
42,0.05,16.20728184812239,15.705527873455964
43,0.05,16.05992875119336,15.552669882863553
44,0.05,15.861775912189678,15.361601870667506
45,0.05,15.855347780643786,15.351862905009801
46,0.05,16.58060733498826,16.08046761439376
47,0.05,16.968049524042254,16.470739521156272
48,0.05,16.569039209811436,16.070062566387424
49,0.05,16.339464277675898,15.83926419010625
50,0.05,16.72627974749895,16.2291406807999
