run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,18.964684231579223,18.454330312596767
2,1.0,18.8892141660456,18.392445363748614
3,1.0,18.978008976960098,18.45386773915614
4,1.0,18.980551590055455,18.47875558661383
5,1.0,19.05060146912445,18.54483610323504
6,1.0,19.039195659057533,18.520128974601377
7,1.0,18.9156655993447,18.408547851627063
8,1.0,18.774445374224257,18.260544369932088
9,1.0,18.810926798259153,18.295220565530208
10,1.0,18.930315243438056,18.417285882271162
11,0.6065761532401006,18.144586800201225,17.64021325691573
12,0.3679346296795588,18.607070833046517,18.100117571793135
13,0.22318037231484725,19.80583221281697,19.297064524728402
14,0.13537589171743386,19.851141250478076,19.32619664112526
15,0.08211578763940967,18.73109002671205,18.21843519993861
16,0.05,17.811576573821114,17.30545692179135
17,0.05,17.365122824309186,16.866067601093405
18,0.05,18.223842148675942,17.725940404899312
19,0.05,18.312069722882057,17.805383991861408
20,0.05,17.419413325327973,16.91743991153149
21,0.05,17.61112201633224,17.11305151247341
22,0.05,18.13225090262821,17.634623048537765
23,0.05,17.463239966789416,16.956413069701004
24,0.05,17.280514130805734,16.780445412755164
25,0.05,17.977357614548087,17.470086193663043
26,0.05,17.58055870570148,17.08072763325684
27,0.05,16.277229977923458,15.777471474723646
28,0.05,16.157643771467967,15.654927070444423
29,0.05,16.179613402512434,15.672097994712521
30,0.05,14.964040459039103,14.462958160645364
31,0.05,14.242938066008083,13.744207499894651
32,0.05,14.767690945774124,14.25172702457544
33,0.05,15.015811099979546,14.514303881989386
34,0.05,13.685966332133507,13.184396916303157
35,0.05,14.535245232628748,14.027697433068106
36,0.05,15.089908837372839,14.57922963825186
37,0.05,16.517524881292662,16.019307919869657
38,0.05,14.436380401002051,13.927909093374156
39,0.05,14.177203131953203,13.678606728670246
40,0.05,15.525581850177474,15.019624475480992
41,0.05,15.835655523483718,15.333562692230165
42,0.05,15.564831175754959,15.060016380444974
43,0.05,15.925529090632809,15.419896481688687
44,0.05,14.967635464227298,14.459372692883877
45,0.05,13.509490578722907,13.005949197358566
46,0.05,15.71117407668741,15.206565568691031
47,0.05,15.77144177111601,15.272135207245002
48,0.05,17.261367815415213,16.764015004480196
49,0.05,12.589069157949524,12.088809888600498
50,0.05,16.035372553482564,15.52696171097768
