run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.08176342324505,18.583029736366832
2,1.0,18.991043956891932,18.483602924805066
3,1.0,19.08151219423454,18.549913394972673
4,1.0,19.053393839886912,18.553534133786286
5,1.0,18.868930595711,18.353981387427435
6,1.0,19.166643781070558,18.6644541107141
7,1.0,18.68479956162979,18.183604629695466
8,1.0,19.102836724695134,18.59043911838641
9,1.0,19.12832555935897,18.621179879711143
10,1.0,18.982285249233843,18.47447165627924
11,0.6065761532401006,18.20136784955668,17.69307472953717
12,0.3679346296795588,16.735300327095594,16.234168770053326
13,0.22318037231484725,16.094199483591694,15.580802278457291
14,0.13537589171743386,15.02593690328219,14.522530048787662
15,0.08211578763940967,14.775277334722313,14.270857767336416
16,0.05,14.011004235462813,13.501927990443061
17,0.05,13.208857171509239,12.710362832547437
18,0.05,13.652944139051153,13.152144488885597
19,0.05,13.54553312324106,13.043491859134523
20,0.05,13.663067010401818,13.162752427428451
21,0.05,13.155773086949228,12.648815125965932
22,0.05,13.623273886344291,13.122135232804663
23,0.05,13.18069011264058,12.674405721188647
24,0.05,12.908874165429324,12.407515892330538
25,0.05,13.100790207125655,12.602204328592837
26,0.05,12.505690690427924,11.999564515395793
27,0.05,12.791163235563582,12.288847317452033
28,0.05,12.830394073918843,12.333589150972996
29,0.05,12.834565846608665,12.325929672420873
30,0.05,12.78926595443813,12.28963612870102
31,0.05,12.64057966404744,12.142768369760125
32,0.05,12.722716496716222,12.218786619232805
33,0.05,12.236332278570003,11.733730922499076
34,0.05,12.91616207792514,12.419378132746868
35,0.05,12.805555049769685,12.309314956199382
36,0.05,12.460029589114713,11.964609643774033
37,0.05,12.669741303290492,12.158449585310763
38,0.05,12.312099631329016,11.816931459975311
39,0.05,13.161090510506229,12.659584228122919
40,0.05,12.85080992213922,12.348594258947182
41,0.05,12.754391313126492,12.251531772167551
42,0.05,12.395193190762052,11.885534433519707
43,0.05,12.538024333822975,12.045087052194171
44,0.05,12.76757795730603,12.260103512779496
45,0.05,12.43976413154336,11.930431400870138
46,0.05,13.045737333778703,12.541986318983476
47,0.05,12.778878392657738,12.280033583464927
48,0.05,13.047368212232549,12.541662675395507
49,0.05,12.567047452046957,12.065126199749487
50,0.05,13.648135707489311,13.153799403965678
