run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.119976809429915,18.617177404767588
2,1.0,18.92851275115479,18.430227217430122
3,1.0,19.078449659246253,18.569108978397832
4,1.0,18.652073316449965,18.152169085412716
5,1.0,19.046068763914047,18.54362577722175
6,1.0,18.995199250402663,18.48915475209573
7,1.0,18.942299044528912,18.420922138715028
8,1.0,19.012823609660156,18.508025102769288
9,1.0,19.10579377669041,18.593307423578757
10,1.0,19.152973813824744,18.645425707408464
11,0.6065761532401006,18.45860115953716,17.949781316154024
12,0.3679346296795588,16.50682176270483,15.996363402867056
13,0.22318037231484725,14.430208094847186,13.92839307682394
14,0.13537589171743386,13.79649770139487,13.294859476984845
15,0.08211578763940967,15.61748777067999,15.111560595063795
16,0.05,13.218051538168954,12.71676607113425
17,0.05,12.267039324132242,11.777077032036686
18,0.05,12.07747329763749,11.57825197111959
19,0.05,12.832606075322348,12.329787211430462
20,0.05,13.329007132413572,12.825192714997506
21,0.05,14.176107691655506,13.670107565086726
22,0.05,14.284392257688392,13.777778628210601
23,0.05,14.24493334106019,13.75161846231136
24,0.05,14.058039167869675,13.555910569320732
25,0.05,14.045071666263288,13.537389850260253
26,0.05,14.060090428352153,13.561628919848824
27,0.05,14.170105402595878,13.675061872841615
28,0.05,14.19650619840396,13.694202996754331
29,0.05,14.144324944751569,13.640262876513038
30,0.05,14.339483194709057,13.84336810250553
31,0.05,14.109422904427689,13.607348936554562
32,0.05,14.149943131729005,13.653422744720933
33,0.05,14.249057802468432,13.75069796382269
34,0.05,14.22749977171024,13.72346924132459
35,0.05,13.924534249364998,13.426917059529694
36,0.05,13.14652264693784,12.647340164420124
37,0.05,12.093775976604213,11.595797564133191
38,0.05,11.282305178502638,10.784405592657807
39,0.05,11.36850146528901,10.866351370451266
40,0.05,11.584502313575179,11.081646057029113
41,0.05,12.219000177270601,11.71750711495776
42,0.05,12.766833049787262,12.265270158648397
43,0.05,12.764109488962553,12.253306226100795
44,0.05,12.630391952808518,12.114754320950246
45,0.05,12.557686680330528,12.05200625540765
46,0.05,12.401967379719524,11.898217620707626
47,0.05,11.640467215495717,11.146507437649019
48,0.05,12.194923478916229,11.693250201086066
49,0.05,12.390544022988857,11.891958361812495
50,0.05,11.9538011814332,11.455376867543402
